hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 60.00000, 2391.42, -1.87404, 0, 0, 10.5891, -26.8974, 10.5891, 153.103
0, 120.00000, 2391.69, -1.87029, 0, 0, 10.5678, -26.8938, 10.5678, 153.106
0, 180.00000, 2391.95, -1.86654, 0, 0, 10.5464, -26.89, 10.5464, 153.11
0, 240.00000, 2392.22, -1.86278, 0, 0, 10.5251, -26.8863, 10.5251, 153.114
0, 300.00000, 2392.48, -1.85902, 0, 0, 10.5038, -26.8825, 10.5038, 153.117
0, 360.00000, 2392.75, -1.85527, 0, 0, 10.4824, -26.8788, 10.4824, 153.121
0, 420.00000, 2393.01, -1.85151, 0, 0, 10.4611, -26.875, 10.4611, 153.125
0, 480.00000, 2393.28, -1.84776, 0, 0, 10.4398, -26.8713, 10.4398, 153.129
0, 540.00000, 2393.54, -1.84401, 0, 0, 10.4185, -26.8675, 10.4185, 153.133
0, 600.00000, 2393.8, -1.84025, 0, 0, 10.3971, -26.8637, 10.3971, 153.136
0, 660.00000, 2394.07, -1.8365, 0, 0, 10.3758, -26.86, 10.3758, 153.14
0, 720.00000, 2394.33, -1.83275, 0, 0, 10.3545, -26.8562, 10.3545, 153.144
0, 780.00000, 2394.6, -1.829, 0, 0, 10.3332, -26.8525, 10.3332, 153.148
0, 840.00000, 2394.86, -1.82525, 0, 0, 10.3119, -26.8487, 10.3119, 153.151
0, 900.00000, 2395.12, -1.8215, 0, 0, 10.2907, -26.845, 10.2907, 153.155
0, 960.00000, 2395.39, -1.81776, 0, 0, 10.2694, -26.8413, 10.2694, 153.159
0, 1020.00000, 2395.65, -1.81401, 0, 0, 10.2481, -26.8375, 10.2481, 153.162
0, 1080.00000, 2395.92, -1.81026, 0, 0, 10.2268, -26.8338, 10.2268, 153.166
0, 1140.00000, 2396.18, -1.80652, 0, 0, 10.2056, -26.83, 10.2056, 153.17
0, 1200.00000, 2396.44, -1.80277, 0, 0, 10.1843, -26.8263, 10.1843, 153.174
0, 1260.00000, 2396.71, -1.79903, 0, 0, 10.163, -26.8225, 10.163, 153.177
0, 1320.00000, 2396.97, -1.79529, 0, 0, 10.1418, -26.8188, 10.1418, 153.181
0, 1380.00000, 2397.23, -1.79155, 0, 0, 10.1205, -26.815, 10.1205, 153.185
0, 1440.00000, 2397.5, -1.78781, 0, 0, 10.0993, -26.8113, 10.0993, 153.189
0, 1500.00000, 2397.76, -1.78407, 0, 0, 10.0781, -26.8076, 10.0781, 153.192
0, 1560.00000, 2398.02, -1.78033, 0, 0, 10.0568, -26.8038, 10.0568, 153.196
0, 1620.00000, 2398.29, -1.77659, 0, 0, 10.0356, -26.8001, 10.0356, 153.2
0, 1680.00000, 2398.55, -1.77285, 0, 0, 10.0144, -26.7963, 10.0144, 153.204
0, 1740.00000, 2398.81, -1.76911, 0, 0, 9.99316, -26.7926, 9.99316, 153.207
0, 1800.00000, 2399.08, -1.76538, 0, 0, 9.97194, -26.7889, 9.97194, 153.211
0, 1860.00000, 2399.34, -1.76164, 0, 0, 9.95074, -26.7851, 9.95074, 153.215
0, 1920.00000, 2399.6, -1.75791, 0, 0, 9.92953, -26.7814, 9.92953, 153.219
0, 1980.00000, 2399.86, -1.75417, 0, 0, 9.90833, -26.7777, 9.90833, 153.222
0, 2040.00000, 2400.13, -1.75044, 0, 0, 9.88714, -26.7739, 9.88714, 153.226
0, 2100.00000, 2400.39, -1.74671, 0, 0, 9.86595, -26.7702, 9.86595, 153.23
0, 2160.00000, 2400.65, -1.74298, 0, 0, 9.84477, -26.7665, 9.84477, 153.234
0, 2220.00000, 2400.91, -1.73924, 0, 0, 9.82359, -26.7627, 9.82359, 153.237
0, 2280.00000, 2401.18, -1.73551, 0, 0, 9.80242, -26.759, 9.80242, 153.241
0, 2340.00000, 2401.44, -1.73179, 0, 0, 9.78125, -26.7553, 9.78125, 153.245
0, 2400.00000, 2401.7, -1.72806, 0, 0, 9.76009, -26.7515, 9.76009, 153.248
0, 2460.00000, 2401.96, -1.72433, 0, 0, 9.73893, -26.7478, 9.73893, 153.252
0, 2520.00000, 2402.23, -1.7206, 0, 0, 9.71777, -26.7441, 9.71777, 153.256
0, 2580.00000, 2402.49, -1.71688, 0, 0, 9.69662, -26.7404, 9.69662, 153.26
0, 2640.00000, 2402.75, -1.71315, 0, 0, 9.67548, -26.7366, 9.67548, 153.263
0, 2700.00000, 2403.01, -1.70943, 0, 0, 9.65434, -26.7329, 9.65434, 153.267
0, 2760.00000, 2403.27, -1.7057, 0, 0, 9.63321, -26.7292, 9.63321, 153.271
0, 2820.00000, 2403.54, -1.70198, 0, 0, 9.61208, -26.7255, 9.61208, 153.275
0, 2880.00000, 2403.8, -1.69826, 0, 0, 9.59095, -26.7218, 9.59095, 153.278
0, 2940.00000, 2404.06, -1.69454, 0, 0, 9.56983, -26.718, 9.56983, 153.282
0, 3000.00000, 2404.32, -1.69082, 0, 0, 9.54872, -26.7143, 9.54872, 153.286
0, 3060.00000, 2404.58, -1.6871, 0, 0, 9.52761, -26.7106, 9.52761, 153.289
0, 3120.00000, 2404.84, -1.68338, 0, 0, 9.5065, -26.7069, 9.5065, 153.293
0, 3180.00000, 2405.1, -1.67966, 0, 0, 9.4854, -26.7032, 9.4854, 153.297
0, 3240.00000, 2405.37, -1.67594, 0, 0, 9.4643, -26.6994, 9.4643, 153.301
0, 3300.00000, 2405.63, -1.67223, 0, 0, 9.44321, -26.6957, 9.44321, 153.304
0, 3360.00000, 2405.89, -1.66851, 0, 0, 9.42213, -26.692, 9.42213, 153.308
0, 3420.00000, 2406.15, -1.66479, 0, 0, 9.40105, -26.6883, 9.40105, 153.312
0, 3480.00000, 2406.41, -1.66108, 0, 0, 9.37997, -26.6846, 9.37997, 153.315
0, 3540.00000, 2406.67, -1.65737, 0, 0, 9.3589, -26.6809, 9.3589, 153.319
1, 0.00000, 2406.93, -1.65365, 0, 0, 9.33783, -26.6771, 9.33783, 153.323
1, 60.00000, 2406.1, -1.66543, 0, 0, 9.40501, -26.6876, 9.40501, 153.312
1, 120.00000, 2405.27, -1.67734, 0, 0, 9.47262, -26.6995, 9.47262, 153.301
1, 180.00000, 2404.43, -1.68927, 0, 0, 9.54027, -26.7114, 9.54027, 153.289
1, 240.00000, 2403.59, -1.7012, 0, 0, 9.60798, -26.7233, 9.60798, 153.277
1, 300.00000, 2402.75, -1.71313, 0, 0, 9.67574, -26.7353, 9.67574, 153.265
1, 360.00000, 2401.91, -1.72508, 0, 0, 9.74354, -26.7472, 9.74354, 153.253
1, 420.00000, 2401.07, -1.73703, 0, 0, 9.8114, -26.7592, 9.8114, 153.241
1, 480.00000, 2400.23, -1.749, 0, 0, 9.87931, -26.7711, 9.87931, 153.229
1, 540.00000, 2399.39, -1.76097, 0, 0, 9.94726, -26.7831, 9.94726, 153.217
1, 600.00000, 2398.54, -1.77295, 0, 0, 10.0153, -26.7951, 10.0153, 153.205
1, 660.00000, 2397.7, -1.78493, 0, 0, 10.0833, -26.8071, 10.0833, 153.193
1, 720.00000, 2396.85, -1.79693, 0, 0, 10.1514, -26.819, 10.1514, 153.181
1, 780.00000, 2396.01, -1.80893, 0, 0, 10.2196, -26.831, 10.2196, 153.169
1, 840.00000, 2395.16, -1.82094, 0, 0, 10.2878, -26.8431, 10.2878, 153.157
1, 900.00000, 2394.32, -1.83296, 0, 0, 10.3561, -26.8551, 10.3561, 153.145
1, 960.00000, 2393.47, -1.84499, 0, 0, 10.4244, -26.8671, 10.4244, 153.133
1, 1020.00000, 2392.62, -1.85703, 0, 0, 10.4928, -26.8791, 10.4928, 153.121
1, 1080.00000, 2391.77, -1.86907, 0, 0, 10.5612, -26.8912, 10.5612, 153.109
1, 1140.00000, 2390.93, -1.88112, 0, 0, 10.6296, -26.9032, 10.6296, 153.097
1, 1200.00000, 2390.08, -1.89318, 0, 0, 10.6982, -26.9153, 10.6982, 153.085
1, 1260.00000, 2389.22, -1.90525, 0, 0, 10.7667, -26.9274, 10.7667, 153.073
1, 1320.00000, 2388.37, -1.91733, 0, 0, 10.8354, -26.9394, 10.8354, 153.061
1, 1380.00000, 2387.52, -1.92942, 0, 0, 10.904, -26.9515, 10.904, 153.048
1, 1440.00000, 2386.67, -1.94151, 0, 0, 10.9728, -26.9636, 10.9728, 153.036
1, 1500.00000, 2385.82, -1.95362, 0, 0, 11.0415, -26.9757, 11.0415, 153.024
1, 1560.00000, 2384.96, -1.96573, 0, 0, 11.1104, -26.9878, 11.1104, 153.012
1, 1620.00000, 2384.11, -1.97785, 0, 0, 11.1793, -27, 11.1793, 153
1, 1680.00000, 2383.25, -1.98998, 0, 0, 11.2482, -27.0121, 11.2482, 152.988
1, 1740.00000, 2382.39, -2.00211, 0, 0, 11.3172, -27.0242, 11.3172, 152.976
1, 1800.00000, 2381.54, -2.01426, 0, 0, 11.3862, -27.0364, 11.3862, 152.964
1, 1860.00000, 2380.68, -2.02641, 0, 0, 11.4553, -27.0485, 11.4553, 152.951
1, 1920.00000, 2379.82, -2.03858, 0, 0, 11.5245, -27.0607, 11.5245, 152.939
1, 1980.00000, 2378.96, -2.05075, 0, 0, 11.5937, -27.0729, 11.5937, 152.927
1, 2040.00000, 2378.1, -2.06293, 0, 0, 11.663, -27.085, 11.663, 152.915
1, 2100.00000, 2377.24, -2.07512, 0, 0, 11.7323, -27.0972, 11.7323, 152.903
1, 2160.00000, 2376.38, -2.08731, 0, 0, 11.8016, -27.1094, 11.8016, 152.891
1, 2220.00000, 2375.52, -2.09952, 0, 0, 11.8711, -27.1216, 11.8711, 152.878
1, 2280.00000, 2374.65, -2.11173, 0, 0, 11.9405, -27.1338, 11.9405, 152.866
1, 2340.00000, 2373.79, -2.12396, 0, 0, 12.0101, -27.1461, 12.0101, 152.854
1, 2400.00000, 2372.93, -2.13619, 0, 0, 12.0796, -27.1583, 12.0796, 152.842
1, 2460.00000, 2372.06, -2.14843, 0, 0, 12.1493, -27.1705, 12.1493, 152.829
1, 2520.00000, 2371.2, -2.16068, 0, 0, 12.219, -27.1828, 12.219, 152.817
1, 2580.00000, 2370.33, -2.17294, 0, 0, 12.2887, -27.195, 12.2887, 152.805
1, 2640.00000, 2369.46, -2.18521, 0, 0, 12.3585, -27.2073, 12.3585, 152.793
1, 2700.00000, 2368.59, -2.19748, 0, 0, 12.4284, -27.2196, 12.4284, 152.78
1, 2760.00000, 2367.72, -2.20977, 0, 0, 12.4983, -27.2319, 12.4983, 152.768
1, 2820.00000, 2366.85, -2.22206, 0, 0, 12.5683, -27.2442, 12.5683, 152.756
1, 2880.00000, 2365.98, -2.23436, 0, 0, 12.6383, -27.2565, 12.6383, 152.744
1, 2940.00000, 2365.11, -2.24668, 0, 0, 12.7084, -27.2688, 12.7084, 152.731
1, 3000.00000, 2364.24, -2.259, 0, 0, 12.7785, -27.2811, 12.7785, 152.719
1, 3060.00000, 2363.37, -2.27133, 0, 0, 12.8487, -27.2934, 12.8487, 152.707
1, 3120.00000, 2362.5, -2.28366, 0, 0, 12.9189, -27.3058, 12.9189, 152.694
1, 3180.00000, 2361.62, -2.29601, 0, 0, 12.9892, -27.3181, 12.9892, 152.682
1, 3240.00000, 2360.75, -2.30837, 0, 0, 13.0596, -27.3305, 13.0596, 152.67
1, 3300.00000, 2359.87, -2.32073, 0, 0, 13.13, -27.3428, 13.13, 152.657
1, 3360.00000, 2358.99, -2.33311, 0, 0, 13.2005, -27.3552, 13.2005, 152.645
1, 3420.00000, 2358.12, -2.34549, 0, 0, 13.271, -27.3676, 13.271, 152.632
1, 3480.00000, 2357.24, -2.35789, 0, 0, 13.3416, -27.38, 13.3416, 152.62
1, 3540.00000, 2356.36, -2.37029, 0, 0, 13.4122, -27.3924, 13.4122, 152.608
2, 0.00000, 2355.48, -2.3827, 0, 0, 13.4829, -27.4048, 13.4829, 152.595
2, 60.00000, 2356.36, -2.37017, 0, 0, 13.4111, -27.3944, 13.4111, 152.606
2, 120.00000, 2357.27, -2.35738, 0, 0, 13.3382, -27.3816, 13.3382, 152.618
2, 180.00000, 2358.18, -2.34458, 0, 0, 13.2654, -27.3689, 13.2654, 152.631
2, 240.00000, 2359.08, -2.3318, 0, 0, 13.1926, -27.3561, 13.1926, 152.644
2, 300.00000, 2359.99, -2.31903, 0, 0, 13.1198, -27.3433, 13.1198, 152.657
2, 360.00000, 2360.89, -2.30627, 0, 0, 13.0471, -27.3305, 13.0471, 152.669
2, 420.00000, 2361.79, -2.29351, 0, 0, 12.9745, -27.3178, 12.9745, 152.682
2, 480.00000, 2362.7, -2.28077, 0, 0, 12.902, -27.305, 12.902, 152.695
2, 540.00000, 2363.6, -2.26803, 0, 0, 12.8295, -27.2923, 12.8295, 152.708
2, 600.00000, 2364.5, -2.25531, 0, 0, 12.757, -27.2796, 12.757, 152.72
2, 660.00000, 2365.4, -2.24259, 0, 0, 12.6846, -27.2669, 12.6846, 152.733
2, 720.00000, 2366.3, -2.22989, 0, 0, 12.6123, -27.2542, 12.6123, 152.746
2, 780.00000, 2367.2, -2.21719, 0, 0, 12.5401, -27.2415, 12.5401, 152.759
2, 840.00000, 2368.09, -2.20451, 0, 0, 12.4679, -27.2288, 12.4679, 152.771
2, 900.00000, 2368.99, -2.19183, 0, 0, 12.3957, -27.2161, 12.3957, 152.784
2, 960.00000, 2369.89, -2.17916, 0, 0, 12.3236, -27.2034, 12.3236, 152.797
2, 1020.00000, 2370.78, -2.1665, 0, 0, 12.2516, -27.1908, 12.2516, 152.809
2, 1080.00000, 2371.68, -2.15385, 0, 0, 12.1796, -27.1781, 12.1796, 152.822
2, 1140.00000, 2372.57, -2.14122, 0, 0, 12.1077, -27.1655, 12.1077, 152.835
2, 1200.00000, 2373.46, -2.12859, 0, 0, 12.0359, -27.1528, 12.0359, 152.847
2, 1260.00000, 2374.35, -2.11596, 0, 0, 11.9641, -27.1402, 11.9641, 152.86
2, 1320.00000, 2375.24, -2.10335, 0, 0, 11.8924, -27.1276, 11.8924, 152.872
2, 1380.00000, 2376.14, -2.09075, 0, 0, 11.8207, -27.115, 11.8207, 152.885
2, 1440.00000, 2377.02, -2.07816, 0, 0, 11.7491, -27.1024, 11.7491, 152.898
2, 1500.00000, 2377.91, -2.06557, 0, 0, 11.6775, -27.0898, 11.6775, 152.91
2, 1560.00000, 2378.8, -2.053, 0, 0, 11.606, -27.0773, 11.606, 152.923
2, 1620.00000, 2379.69, -2.04043, 0, 0, 11.5345, -27.0647, 11.5345, 152.935
2, 1680.00000, 2380.57, -2.02788, 0, 0, 11.4632, -27.0521, 11.4632, 152.948
2, 1740.00000, 2381.46, -2.01533, 0, 0, 11.3918, -27.0396, 11.3918, 152.96
2, 1800.00000, 2382.35, -2.00279, 0, 0, 11.3205, -27.0271, 11.3205, 152.973
2, 1860.00000, 2383.23, -1.99026, 0, 0, 11.2493, -27.0145, 11.2493, 152.985
2, 1920.00000, 2384.11, -1.97775, 0, 0, 11.1782, -27.002, 11.1782, 152.998
2, 1980.00000, 2384.99, -1.96523, 0, 0, 11.1071, -26.9895, 11.1071, 153.011
2, 2040.00000, 2385.88, -1.95273, 0, 0, 11.036, -26.977, 11.036, 153.023
2, 2100.00000, 2386.76, -1.94024, 0, 0, 10.965, -26.9645, 10.965, 153.036
2, 2160.00000, 2387.64, -1.92776, 0, 0, 10.8941, -26.952, 10.8941, 153.048
2, 2220.00000, 2388.52, -1.91528, 0, 0, 10.8232, -26.9395, 10.8232, 153.06
2, 2280.00000, 2389.4, -1.90282, 0, 0, 10.7524, -26.9271, 10.7524, 153.073
2, 2340.00000, 2390.27, -1.89036, 0, 0, 10.6816, -26.9146, 10.6816, 153.085
2, 2400.00000, 2391.15, -1.87791, 0, 0, 10.6109, -26.9022, 10.6109, 153.098
2, 2460.00000, 2392.03, -1.86547, 0, 0, 10.5402, -26.8897, 10.5402, 153.11
2, 2520.00000, 2392.9, -1.85304, 0, 0, 10.4696, -26.8773, 10.4696, 153.123
2, 2580.00000, 2393.78, -1.84062, 0, 0, 10.399, -26.8649, 10.399, 153.135
2, 2640.00000, 2394.65, -1.82821, 0, 0, 10.3285, -26.8525, 10.3285, 153.148
2, 2700.00000, 2395.53, -1.81581, 0, 0, 10.2581, -26.8401, 10.2581, 153.16
2, 2760.00000, 2396.4, -1.80341, 0, 0, 10.1877, -26.8277, 10.1877, 153.172
2, 2820.00000, 2397.27, -1.79103, 0, 0, 10.1174, -26.8153, 10.1174, 153.185
2, 2880.00000, 2398.14, -1.77865, 0, 0, 10.0471, -26.8029, 10.0471, 153.197
2, 2940.00000, 2399.01, -1.76628, 0, 0, 9.97688, -26.7905, 9.97688, 153.209
2, 3000.00000, 2399.88, -1.75392, 0, 0, 9.90671, -26.7782, 9.90671, 153.222
2, 3060.00000, 2400.75, -1.74157, 0, 0, 9.83659, -26.7658, 9.83659, 153.234
2, 3120.00000, 2401.62, -1.72923, 0, 0, 9.76653, -26.7535, 9.76653, 153.247
2, 3180.00000, 2402.49, -1.71689, 0, 0, 9.69652, -26.7411, 9.69652, 153.259
2, 3240.00000, 2403.35, -1.70457, 0, 0, 9.62656, -26.7288, 9.62656, 153.271
2, 3300.00000, 2404.22, -1.69225, 0, 0, 9.55666, -26.7165, 9.55666, 153.284
2, 3360.00000, 2405.08, -1.67994, 0, 0, 9.48681, -26.7042, 9.48681, 153.296
2, 3420.00000, 2405.95, -1.66764, 0, 0, 9.41702, -26.6919, 9.41702, 153.308
2, 3480.00000, 2406.81, -1.65535, 0, 0, 9.34727, -26.6796, 9.34727, 153.32
2, 3540.00000, 2407.68, -1.64307, 0, 0, 9.27758, -26.6673, 9.27758, 153.333
3, 0.00000, 2408.54, -1.6308, 0, 0, 9.20794, -26.655, 9.20794, 153.345
3, 60.00000, 2407.8, -1.64126, 0, 0, 9.26787, -26.6635, 9.26787, 153.336
3, 120.00000, 2407.05, -1.65193, 0, 0, 9.32837, -26.6742, 9.32837, 153.326
3, 180.00000, 2406.3, -1.6626, 0, 0, 9.38892, -26.6848, 9.38892, 153.315
3, 240.00000, 2405.55, -1.67328, 0, 0, 9.44951, -26.6955, 9.44951, 153.304
3, 300.00000, 2404.8, -1.68396, 0, 0, 9.51013, -26.7062, 9.51013, 153.294
3, 360.00000, 2404.05, -1.69465, 0, 0, 9.5708, -26.7169, 9.5708, 153.283
3, 420.00000, 2403.3, -1.70534, 0, 0, 9.6315, -26.7276, 9.6315, 153.272
3, 480.00000, 2402.55, -1.71605, 0, 0, 9.69225, -26.7383, 9.69225, 153.262
3, 540.00000, 2401.79, -1.72676, 0, 0, 9.75304, -26.749, 9.75304, 153.251
3, 600.00000, 2401.04, -1.73747, 0, 0, 9.81386, -26.7597, 9.81386, 153.24
3, 660.00000, 2400.28, -1.7482, 0, 0, 9.87473, -26.7704, 9.87473, 153.23
3, 720.00000, 2399.53, -1.75892, 0, 0, 9.93564, -26.7812, 9.93564, 153.219
3, 780.00000, 2398.77, -1.76966, 0, 0, 9.99659, -26.7919, 9.99659, 153.208
3, 840.00000, 2398.02, -1.7804, 0, 0, 10.0576, -26.8026, 10.0576, 153.197
3, 900.00000, 2397.26, -1.79115, 0, 0, 10.1186, -26.8134, 10.1186, 153.187
3, 960.00000, 2396.5, -1.80191, 0, 0, 10.1797, -26.8241, 10.1797, 153.176
3, 1020.00000, 2395.75, -1.81267, 0, 0, 10.2408, -26.8349, 10.2408, 153.165
3, 1080.00000, 2394.99, -1.82344, 0, 0, 10.3019, -26.8457, 10.3019, 153.154
3, 1140.00000, 2394.23, -1.83421, 0, 0, 10.3631, -26.8564, 10.3631, 153.144
3, 1200.00000, 2393.47, -1.84499, 0, 0, 10.4244, -26.8672, 10.4244, 153.133
3, 1260.00000, 2392.71, -1.85578, 0, 0, 10.4857, -26.878, 10.4857, 153.122
3, 1320.00000, 2391.95, -1.86658, 0, 0, 10.547, -26.8888, 10.547, 153.111
3, 1380.00000, 2391.19, -1.87738, 0, 0, 10.6083, -26.8996, 10.6083, 153.1
3, 1440.00000, 2390.43, -1.88819, 0, 0, 10.6697, -26.9104, 10.6697, 153.09
3, 1500.00000, 2389.67, -1.899, 0, 0, 10.7312, -26.9212, 10.7312, 153.079
3, 1560.00000, 2388.9, -1.90982, 0, 0, 10.7927, -26.932, 10.7927, 153.068
